Taxon,taxon,binomial,genus,species,subspecies,taxon,Status,Accepted name,Authority,Collection source,ETS accession,ITS accession,matK accession,psbA accession
Eucalyptus jutsonii subsp. jutsonii,eucalyptus jutsonii subsp. jutsonii,eucalyptus jutsonii,eucalyptus,jutsonii,jutsonii,eucalyptus jutsonii subsp. jutsonii,Accepted,,Maiden,Currency Creek 458,KT631748,KT631152,KT632927,KT632353
Eucalyptus kartzoffiana,eucalyptus kartzoffiana,eucalyptus kartzoffiana,eucalyptus,kartzoffiana,NA,eucalyptus kartzoffiana,Accepted,,L.A.S.Johnson & Blaxell,Currency Creek s.n.,KT631749,KT631153,KT632928,
Eucalyptus kessellii subsp. kessellii,eucalyptus kessellii subsp. kessellii,eucalyptus kessellii,eucalyptus,kessellii,kessellii,eucalyptus kessellii subsp. kessellii,Accepted,,Maiden & Blakely,Currency Creek 1101,KT631750,KT631154,KT632929,KT632354
Eucalyptus kingsmillii subsp. kingsmillii,eucalyptus kingsmillii subsp. kingsmillii,eucalyptus kingsmillii,eucalyptus,kingsmillii,kingsmillii,eucalyptus kingsmillii subsp. kingsmillii,Accepted,,(Maiden) Maiden & Blakely,Mt Annan 866008,KT631751,KT631155,KT632930,KT632355
Eucalyptus kitsoniana,eucalyptus kitsoniana,eucalyptus kitsoniana,eucalyptus,kitsoniana,NA,eucalyptus kitsoniana,Accepted,,Maiden,Currency Creek 4311,KT631752,EF694712,KT632931,KT632356
Eucalyptus kochii subsp. kochii,eucalyptus kochii subsp. kochii,eucalyptus kochii,eucalyptus,kochii,kochii,eucalyptus kochii subsp. kochii,Accepted,,Maiden & Blakely,Currency Creek 2223,KT631753,KT631156,KT632932,KT632357
Eucalyptus kondininensis,eucalyptus kondininensis,eucalyptus kondininensis,eucalyptus,kondininensis,NA,eucalyptus kondininensis,Accepted,,Maiden & Blakely,Currency Creek 3424,KT631754,KT631157,KT632933,KT632358
Eucalyptus koolpinensis,eucalyptus koolpinensis,eucalyptus koolpinensis,eucalyptus,koolpinensis,NA,eucalyptus koolpinensis,Accepted,,Brooker & Dunlop,CANB 454611**,,KT631158,,
Eucalyptus kruseana,eucalyptus kruseana,eucalyptus kruseana,eucalyptus,kruseana,NA,eucalyptus kruseana,Accepted,,F.Muell.,Currency Creek s.n.,KT631755,,,
Eucalyptus kumarlensis,eucalyptus kumarlensis,eucalyptus kumarlensis,eucalyptus,kumarlensis,NA,eucalyptus kumarlensis,Accepted,,Brooker,Currency Creek 141,KT631756,KT631159,KT632934,
Eucalyptus kybeanensis,eucalyptus kybeanensis,eucalyptus kybeanensis,eucalyptus,kybeanensis,NA,eucalyptus kybeanensis,Accepted,,Maiden & Cambage,Waite Arboretum 2469,KT631757,KT631160,KT632935,KT632359
Eucalyptus lacrimans,eucalyptus lacrimans,eucalyptus lacrimans,eucalyptus,lacrimans,NA,eucalyptus lacrimans,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 590,KT631758,EF051495,KT632936,KT632360
Eucalyptus laeliae,eucalyptus laeliae,eucalyptus laeliae,eucalyptus,laeliae,NA,eucalyptus laeliae,Accepted,,Podger & Chippend.,Currency Creek 1150,KT631759,KT631161,,
Eucalyptus laevopinea,eucalyptus laevopinea,eucalyptus laevopinea,eucalyptus,laevopinea,NA,eucalyptus laevopinea,Accepted,,F.Muell. ex R.T.Baker,Currency Creek 649,KT631760,KT631162,KT632937,KT632361
Eucalyptus lanepoolei,eucalyptus lanepoolei,eucalyptus lanepoolei,eucalyptus,lanepoolei,NA,eucalyptus lanepoolei,Accepted,,Maiden,Currency Creek 3514,KT631761,KT631163,KT632938,KT632362
Eucalyptus langleyi,eucalyptus langleyi,eucalyptus langleyi,eucalyptus,langleyi,NA,eucalyptus langleyi,Accepted,,L.A.S.Johnson & Blaxell,ANBG 8801319,KT631762,KT631164,KT632939,KT632363
Eucalyptus lansdowneana,eucalyptus lansdowneana,eucalyptus lansdowneana,eucalyptus,lansdowneana,NA,eucalyptus lansdowneana,Accepted,,F.Muell. & J.E.Br.,Currency Creek 57,KT631763,AF058476,KT632940,KT632364
Eucalyptus largeana,eucalyptus largeana,eucalyptus largeana,eucalyptus,largeana,NA,eucalyptus largeana,Accepted,,Blakely & Beuzev.,CANB 470581**,,KT631165,,
Eucalyptus largiflorens,eucalyptus largiflorens,eucalyptus largiflorens,eucalyptus,largiflorens,NA,eucalyptus largiflorens,Synonym,Eucalyptus bicolor,A.Cunn. ex Hook.,CANB 785604**,KT631764,KT631166,KT632941,KT632365
Eucalyptus latens,eucalyptus latens,eucalyptus latens,eucalyptus,latens,NA,eucalyptus latens,Accepted,,Brooker,Currency Creek 1613,KT631765,KT631167,KT632942,KT632366
Eucalyptus lateritica,eucalyptus lateritica,eucalyptus lateritica,eucalyptus,lateritica,NA,eucalyptus lateritica,Accepted,,Brooker & Hopper,CANB 794197**,KT631766,KT631168,KT632943,KT632367
Eucalyptus latisinensis,eucalyptus latisinensis,eucalyptus latisinensis,eucalyptus,latisinensis,NA,eucalyptus latisinensis,Accepted,,K.D.Hill,Currency Creek 715,KT631767,AF390532,,KT632368
Eucalyptus lehmannii subsp. lehmannii,eucalyptus lehmannii subsp. lehmannii,eucalyptus lehmannii,eucalyptus,lehmannii,lehmannii,eucalyptus lehmannii subsp. lehmannii,Accepted,,(Schauer) Benth.,Currency Creek 294,KT631768,,,KT632369
Eucalyptus leptocalyx subsp. leptocalyx,eucalyptus leptocalyx subsp. leptocalyx,eucalyptus leptocalyx,eucalyptus,leptocalyx,leptocalyx,eucalyptus leptocalyx subsp. leptocalyx,Accepted,,Blakely,Currency Creek 3592,KT631769,KT631169,,KT632370
Eucalyptus leptophleba,eucalyptus leptophleba,eucalyptus leptophleba,eucalyptus,leptophleba,NA,eucalyptus leptophleba,Accepted,,F.Muell.,CANB 597951**,KT631770,,,KT632371
Eucalyptus leptophylla,eucalyptus leptophylla,eucalyptus leptophylla,eucalyptus,leptophylla,NA,eucalyptus leptophylla,Synonym,Eucalyptus foecunda,Schauer,Currency Creek 3486,KT631771,KT631170,KT632944,KT632372
Eucalyptus leptopoda subsp. leptopoda,eucalyptus leptopoda subsp. leptopoda,eucalyptus leptopoda,eucalyptus,leptopoda,leptopoda,eucalyptus leptopoda subsp. leptopoda,Accepted,,Benth.,CANB 519232**,KT631772,KT631171,KT632945,
Eucalyptus lesouefii,eucalyptus lesouefii,eucalyptus lesouefii,eucalyptus,lesouefii,NA,eucalyptus lesouefii,Accepted,,Maiden,Currency Creek 3633,KT631773,KT631172,KT632946,KT632373
Eucalyptus leucophloia subsp. euroa,eucalyptus leucophloia subsp. euroa,eucalyptus leucophloia,eucalyptus,leucophloia,euroa,eucalyptus leucophloia subsp. euroa,Accepted,,Brooker,Currency Creek 2498,KT631774,KT631173,KT632947,KT632374
Eucalyptus leucoxylon subsp. leucoxylon,eucalyptus leucoxylon subsp. leucoxylon,eucalyptus leucoxylon,eucalyptus,leucoxylon,leucoxylon,eucalyptus leucoxylon subsp. leucoxylon,Accepted,,F.Muell.,Currency Creek 3788,KT631775,KT631174,KT632948,KT632375
Eucalyptus ligulata subsp. ligulata,eucalyptus ligulata subsp. ligulata,eucalyptus ligulata,eucalyptus,ligulata,ligulata,eucalyptus ligulata subsp. ligulata,Accepted,,Brooker,Currency Creek 175,KT631776,KT631175,KT632949,KT632376
Eucalyptus ligustrina,eucalyptus ligustrina,eucalyptus ligustrina,eucalyptus,ligustrina,NA,eucalyptus ligustrina,Accepted,,A.Cunn. ex DC.,Currency Creek 624,KT631777,KT631176,KT632950,KT632377
Eucalyptus limitaris,eucalyptus limitaris,eucalyptus limitaris,eucalyptus,limitaris,NA,eucalyptus limitaris,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 785552**,KT631778,KT631177,KT632951,KT632378
Eucalyptus lirata,eucalyptus lirata,eucalyptus lirata,eucalyptus,lirata,NA,eucalyptus lirata,Accepted,,W.Fitzg. ex Maiden,CANB 784082**,FJ654424,,,KT632379
Eucalyptus litorea,eucalyptus litorea,eucalyptus litorea,eucalyptus,litorea,NA,eucalyptus litorea,Accepted,,Brooker & Hopper,Currency Creek 1094,KT631779,KT631178,KT632952,KT632380
Eucalyptus livida,eucalyptus livida,eucalyptus livida,eucalyptus,livida,NA,eucalyptus livida,Accepted,,Brooker & Hopper,CANB 794326**,KT631780,KT631179,KT632953,KT632381
Eucalyptus lockyeri,eucalyptus lockyeri,eucalyptus lockyeri,eucalyptus,lockyeri,NA,eucalyptus lockyeri,Accepted,,Blaxell & K.D.Hill,GenBank,,AF390488,,
Eucalyptus longicornis,eucalyptus longicornis,eucalyptus longicornis,eucalyptus,longicornis,NA,eucalyptus longicornis,Accepted,,(F.Muell.) Maiden,Currency Creek 2241,KT631781,KT631180,KT632954,KT632382
Eucalyptus longifolia,eucalyptus longifolia,eucalyptus longifolia,eucalyptus,longifolia,NA,eucalyptus longifolia,Accepted,,Link,GenBank,,EF488224,,
Eucalyptus longirostrata,eucalyptus longirostrata,eucalyptus longirostrata,eucalyptus,longirostrata,NA,eucalyptus longirostrata,Accepted,,(Blakely) L.A.S.Johnson &,Currency Creek 2112,KT631782,KT631181,KT632955,KT632383
Eucalyptus loxophleba subsp. loxophleba,eucalyptus loxophleba subsp. loxophleba,eucalyptus loxophleba,eucalyptus,loxophleba,loxophleba,eucalyptus loxophleba subsp. loxophleba,Accepted,,Benth.,ANBG 9205090,KT631783,KT631182,KT632956,KT632384
Eucalyptus lucasii,eucalyptus lucasii,eucalyptus lucasii,eucalyptus,lucasii,NA,eucalyptus lucasii,Accepted,,Blakely,CANB 804340**,KT631784,KT631183,KT632957,KT632385
Eucalyptus lucens,eucalyptus lucens,eucalyptus lucens,eucalyptus,lucens,NA,eucalyptus lucens,Accepted,,Brooker & Dunlop,Currency Creek 1353,KT631785,KT631184,KT632958,
Eucalyptus luculenta,eucalyptus luculenta,eucalyptus luculenta,eucalyptus,luculenta,NA,eucalyptus luculenta,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3618,KT631786,KT631185,KT632959,KT632386
Eucalyptus luehmanniana,eucalyptus luehmanniana,eucalyptus luehmanniana,eucalyptus,luehmanniana,NA,eucalyptus luehmanniana,Accepted,,F.Muell.,ANBG 8300316,KT631787,KT631186,KT632960,KT632387
Eucalyptus macarthurii,eucalyptus macarthurii,eucalyptus macarthurii,eucalyptus,macarthurii,NA,eucalyptus macarthurii,Accepted,,H.Deane & Maiden,ANBG s.n.,KT631788,KT631187,KT632961,
Eucalyptus mackintii,eucalyptus mackintii,eucalyptus mackintii,eucalyptus,mackintii,NA,eucalyptus mackintii,Accepted,,Kottek,Currency Creek 1737,KT631789,KT631188,KT632962,KT632388
Eucalyptus macrandra,eucalyptus macrandra,eucalyptus macrandra,eucalyptus,macrandra,NA,eucalyptus macrandra,Accepted,,F.Muell. ex Benth.,Currency Creek 1887,KT631790,KT631189,KT632963,KT632389
Eucalyptus macrocarpa,eucalyptus macrocarpa,eucalyptus macrocarpa,eucalyptus,macrocarpa,NA,eucalyptus macrocarpa,Accepted,,Hook.,Currency Creek 3428,KT631791,KT631190,KT632964,KT632390
Eucalyptus macrorhyncha subsp. macrorhyncha,eucalyptus macrorhyncha subsp. macrorhyncha,eucalyptus macrorhyncha,eucalyptus,macrorhyncha,macrorhyncha,eucalyptus macrorhyncha subsp. macrorhyncha,Accepted,,F.Muell. ex Benth.,Currency Creek 737,KT631792,KT631191,KT632965,KT632391
Eucalyptus magnificata,eucalyptus magnificata,eucalyptus magnificata,eucalyptus,magnificata,NA,eucalyptus magnificata,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 2945,KT631793,KT631192,KT632966,KT632392
Eucalyptus major,eucalyptus major,eucalyptus major,eucalyptus,major,NA,eucalyptus major,Accepted,,(Maiden) Blakely,Currency Creek 2107,KT631794,KT631193,KT632967,KT632393
Eucalyptus malacoxylon,eucalyptus malacoxylon,eucalyptus malacoxylon,eucalyptus,malacoxylon,NA,eucalyptus malacoxylon,Accepted,,Blakely,Currency Creek 1368,KT631795,KT631194,KT632968,
Eucalyptus mannensis subsp. vespertina,eucalyptus mannensis subsp. vespertina,eucalyptus mannensis,eucalyptus,mannensis,vespertina,eucalyptus mannensis subsp. vespertina,Accepted,,Boomsma,Currency Creek 1171,KT631796,KT631195,KT632969,KT632394
Eucalyptus mannifera subsp. mannifera,eucalyptus mannifera subsp. mannifera,eucalyptus mannifera,eucalyptus,mannifera,mannifera,eucalyptus mannifera subsp. mannifera,Accepted,,Mudie,Currency Creek 2066,KT631797,KT631196,KT632970,
Eucalyptus marginata subsp. marginata,eucalyptus marginata subsp. marginata,eucalyptus marginata,eucalyptus,marginata,marginata,eucalyptus marginata subsp. marginata,Accepted,,Donn ex Sm.,CANB 794234**,FJ494752,AF390530,KT632971,KT632395
Eucalyptus mckieana,eucalyptus mckieana,eucalyptus mckieana,eucalyptus,mckieana,NA,eucalyptus mckieana,Accepted,,Blakely,Currency Creek 659,KT631798,KT631197,KT632972,KT632396
Eucalyptus mcquoidii,eucalyptus mcquoidii,eucalyptus mcquoidii,eucalyptus,mcquoidii,NA,eucalyptus mcquoidii,Accepted,,Brooker & Hopper,Currency Creek 3569,KT631799,KT631198,,KT632397
Eucalyptus medialis,eucalyptus medialis,eucalyptus medialis,eucalyptus,medialis,NA,eucalyptus medialis,Accepted,,Brooker & Hopper,Waite Arboretum 2471,KT631800,KT631199,KT632973,KT632398
Eucalyptus megacarpa,eucalyptus megacarpa,eucalyptus megacarpa,eucalyptus,megacarpa,NA,eucalyptus megacarpa,Accepted,,F.Muell.,CANB 804457**,KT631801,KT631200,KT632974,KT632399
Eucalyptus megacornuta,eucalyptus megacornuta,eucalyptus megacornuta,eucalyptus,megacornuta,NA,eucalyptus megacornuta,Accepted,,C.A.Gardner,Currency Creek 3578,KT631802,KT631201,KT632975,KT632400
Eucalyptus melanoleuca,eucalyptus melanoleuca,eucalyptus melanoleuca,eucalyptus,melanoleuca,NA,eucalyptus melanoleuca,Accepted,,S.T.Blake,Currency Creek 2111,KT631803,KT631202,KT632976,KT632401
Eucalyptus melanophitra,eucalyptus melanophitra,eucalyptus melanophitra,eucalyptus,melanophitra,NA,eucalyptus melanophitra,Accepted,,Brooker & Hopper,Currency Creek 211,KT631804,KT631203,,KT632402
Eucalyptus melanophloia subsp. melanophloia,eucalyptus melanophloia subsp. melanophloia,eucalyptus melanophloia,eucalyptus,melanophloia,melanophloia,eucalyptus melanophloia subsp. melanophloia,Accepted,,F.Muell.,Currency Creek 690,KT631805,KT631204,,
Eucalyptus melanoxylon,eucalyptus melanoxylon,eucalyptus melanoxylon,eucalyptus,melanoxylon,NA,eucalyptus melanoxylon,Accepted,,Maiden,Currency Creek 2552,KT631806,,KT632977,KT632403
Eucalyptus melliodora,eucalyptus melliodora,eucalyptus melliodora,eucalyptus,melliodora,NA,eucalyptus melliodora,Accepted,,A.Cunn. ex Schauer,ANBG 662272,KT631807,KT631205,KT632978,KT632404
Eucalyptus merrickiae,eucalyptus merrickiae,eucalyptus merrickiae,eucalyptus,merrickiae,NA,eucalyptus merrickiae,Accepted,,Maiden & Blakely,CANB 794336**,KT631808,KT631206,KT632979,KT632405
Eucalyptus michaeliana,eucalyptus michaeliana,eucalyptus michaeliana,eucalyptus,michaeliana,NA,eucalyptus michaeliana,Accepted,,Blakely,Currency Creek 650,,AF390484,KT632980,
Eucalyptus micranthera,eucalyptus micranthera,eucalyptus micranthera,eucalyptus,micranthera,NA,eucalyptus micranthera,Accepted,,F.Muell. ex Benth.,Currency Creek 1090,KT631809,,,KT632406
Eucalyptus microcarpa,eucalyptus microcarpa,eucalyptus microcarpa,eucalyptus,microcarpa,NA,eucalyptus microcarpa,Accepted,,(Maiden) Maiden,Currency Creek 2895,KT631810,KT631207,KT632981,
Eucalyptus microcorys,eucalyptus microcorys,eucalyptus microcorys,eucalyptus,microcorys,NA,eucalyptus microcorys,Accepted,,F.Muell.,ANBG 491154,KT631811,AF390516,KT632982,
Eucalyptus microneura,eucalyptus microneura,eucalyptus microneura,eucalyptus,microneura,NA,eucalyptus microneura,Accepted,,Maiden & Blakely,ANBG 8603418,KT631812,KT631208,KT632983,KT632407
Eucalyptus microschema,eucalyptus microschema,eucalyptus microschema,eucalyptus,microschema,NA,eucalyptus microschema,Accepted,,Brooker & Hopper,CANB 635056**,,,KT632984,
Eucalyptus microtheca,eucalyptus microtheca,eucalyptus microtheca,eucalyptus,microtheca,NA,eucalyptus microtheca,Accepted,,F.Muell.,CANB 785484**,KT631813,AF390515,KT632985,
Eucalyptus mimica subsp. mimica,eucalyptus mimica subsp. mimica,eucalyptus mimica,eucalyptus,mimica,mimica,eucalyptus mimica subsp. mimica,Accepted,,Brooker & Hopper,Currency Creek 188,KT631814,KT631209,KT632986,KT632408
Eucalyptus miniata,eucalyptus miniata,eucalyptus miniata,eucalyptus,miniata,NA,eucalyptus miniata,Accepted,,A.Cunn. ex Schauer,CANB 785476**,KT631815,KT631210,KT632987,KT632409
Eucalyptus minigwalica,eucalyptus minigwalica,eucalyptus minigwalica,eucalyptus,minigwalica,NA,eucalyptus minigwalica,MS,,D.Nicolle,Currency Creek 522,KT631816,KT631211,KT632988,KT632410
Eucalyptus minniritchi,eucalyptus minniritchi,eucalyptus minniritchi,eucalyptus,minniritchi,NA,eucalyptus minniritchi,Accepted,,D.Nicolle,Currency Creek 1354,KT631817,KT631212,KT632989,KT632411
Eucalyptus misella,eucalyptus misella,eucalyptus misella,eucalyptus,misella,NA,eucalyptus misella,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 794329**,KT631818,KT631213,KT632990,KT632412
Eucalyptus mitchelliana,eucalyptus mitchelliana,eucalyptus mitchelliana,eucalyptus,mitchelliana,NA,eucalyptus mitchelliana,Accepted,,Cambage,Currency Creek 574,KT631819,FJ494720,KT632991,KT632413
Eucalyptus moderata,eucalyptus moderata,eucalyptus moderata,eucalyptus,moderata,NA,eucalyptus moderata,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1661,KT631820,KT631214,KT632992,KT632414
Eucalyptus moluccana,eucalyptus moluccana,eucalyptus moluccana,eucalyptus,moluccana,NA,eucalyptus moluccana,Accepted,,Wall. ex Roxb.,ANBG 50761,KT631821,KT631215,KT632993,KT632415
Eucalyptus mooreana,eucalyptus mooreana,eucalyptus mooreana,eucalyptus,mooreana,NA,eucalyptus mooreana,Accepted,,Maiden,CANB 750218**,,KT631216,,
Eucalyptus moorei subsp. moorei,eucalyptus moorei subsp. moorei,eucalyptus moorei,eucalyptus,moorei,moorei,eucalyptus moorei subsp. moorei,Accepted,,Maiden & Cambage,ANBG 9600762,KT631822,KT631217,KT632994,KT632416
Eucalyptus morrisbyi,eucalyptus morrisbyi,eucalyptus morrisbyi,eucalyptus,morrisbyi,NA,eucalyptus morrisbyi,Accepted,,Brett,Currency Creek 1983,KT631823,HM596054,KT632995,KT632417
Eucalyptus morrisii,eucalyptus morrisii,eucalyptus morrisii,eucalyptus,morrisii,NA,eucalyptus morrisii,Accepted,,R.T.Baker,Currency Creek 730,KT631824,KT631218,KT632996,KT632418
Eucalyptus muelleriana,eucalyptus muelleriana,eucalyptus muelleriana,eucalyptus,muelleriana,NA,eucalyptus muelleriana,Accepted,,Howitt,Currency Creek 1753,KT631825,KT631219,KT632997,KT632419
Eucalyptus multicaulis,eucalyptus multicaulis,eucalyptus multicaulis,eucalyptus,multicaulis,NA,eucalyptus multicaulis,Accepted,,Blakely,ANBG 761635,KT631826,KT631220,KT632998,
Eucalyptus myriadena,eucalyptus myriadena,eucalyptus myriadena,eucalyptus,myriadena,NA,eucalyptus myriadena,Accepted,,Brooker,Currency Creek 321,KT631827,KT631221,KT632999,KT632420
Eucalyptus nanderwarica,eucalyptus nanderwarica,eucalyptus nanderwarica,eucalyptus,nanderwarica,NA,eucalyptus nanderwarica,Accepted,,L.A.S.Johnson & K.D.Hill,ANBG 9707924,KT631828,KT631222,KT633000,KT632421
Eucalyptus neglecta,eucalyptus neglecta,eucalyptus neglecta,eucalyptus,neglecta,NA,eucalyptus neglecta,Accepted,,Maiden,ANBG 72027,KT631829,KT631223,KT633001,
Eucalyptus nerthicola,eucalyptus nerthicola,eucalyptus nerthicola,eucalyptus,nerthicola,NA,eucalyptus nerthicola,Accepted,,D.Nicolle,Currency Creek 3608,KT631830,KT631224,KT633002,KT632422
Eucalyptus neutra,eucalyptus neutra,eucalyptus neutra,eucalyptus,neutra,NA,eucalyptus neutra,Accepted,,D.Nicolle,Currency Creek 1855,KT631831,,KT633003,KT632423
Eucalyptus newbeyi,eucalyptus newbeyi,eucalyptus newbeyi,eucalyptus,newbeyi,NA,eucalyptus newbeyi,Accepted,,D.J.Carr & S.G.M.Carr,Currency Creek 212,KT631832,KT631225,,
Eucalyptus nicholii,eucalyptus nicholii,eucalyptus nicholii,eucalyptus,nicholii,NA,eucalyptus nicholii,Accepted,,Maiden & Blakely,Currency Creek 651,KT631833,KT631226,KT633004,KT632424
Eucalyptus nitens,eucalyptus nitens,eucalyptus nitens,eucalyptus,nitens,NA,eucalyptus nitens,Accepted,,(H.Deane & Maiden) Maiden,ANBG 651034,KT631834,KT631227,KT633005,
Eucalyptus nitida,eucalyptus nitida,eucalyptus nitida,eucalyptus,nitida,NA,eucalyptus nitida,Synonym,E ucalyptus ambigua,A.Cunn. ex DC.,Currency Creek 1964,KT631835,KT631228,KT633006,KT632425
Eucalyptus nobilis,eucalyptus nobilis,eucalyptus nobilis,eucalyptus,nobilis,NA,eucalyptus nobilis,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 753,KT631836,KT631229,KT633007,
Eucalyptus normantonensis,eucalyptus normantonensis,eucalyptus normantonensis,eucalyptus,normantonensis,NA,eucalyptus normantonensis,Accepted,,Maiden & Cambage,Currency Creek 1202,KT631837,,KT633008,
Eucalyptus nortonii,eucalyptus nortonii,eucalyptus nortonii,eucalyptus,nortonii,NA,eucalyptus nortonii,Accepted,,(Blakely) L.A.S.Johnson,Currency Creek 2951,KT631838,KT631230,KT633009,
Eucalyptus nova-anglica,eucalyptus nova-anglica,eucalyptus nova-anglica,eucalyptus,nova-anglica,NA,eucalyptus nova-anglica,Accepted,,H.Deane & Maiden,Currency Creek 656,KT631839,KT631231,KT633010,KT632426
Eucalyptus nudicaulis,eucalyptus nudicaulis,eucalyptus nudicaulis,eucalyptus,nudicaulis,NA,eucalyptus nudicaulis,Accepted,,A.R.Bean,Currency Creek 4184,KT631840,KT631232,KT633011,KT632427
Eucalyptus nutans,eucalyptus nutans,eucalyptus nutans,eucalyptus,nutans,NA,eucalyptus nutans,Accepted,,F.Muell.,Currency Creek 4800,KT631841,KT631233,KT633012,KT632428
Eucalyptus obconica,eucalyptus obconica,eucalyptus obconica,eucalyptus,obconica,NA,eucalyptus obconica,Accepted,,Brooker & Kleinig,CANB 644802**,KT631842,KT631234,KT633013,
Eucalyptus obesa,eucalyptus obesa,eucalyptus obesa,eucalyptus,obesa,NA,eucalyptus obesa,Accepted,,Brooker & Hopper,Currency Creek 3724,KT631843,,,
Eucalyptus obliqua,eucalyptus obliqua,eucalyptus obliqua,eucalyptus,obliqua,NA,eucalyptus obliqua,Accepted,,L'Hér.,Royal Canberra Golf Club AHT21,KT631844,AF058484,KT633014,KT632429
Eucalyptus oblonga,eucalyptus oblonga,eucalyptus oblonga,eucalyptus,oblonga,NA,eucalyptus oblonga,Accepted,,A.Cunn. ex DC.,Currency Creek 622,,,,KT632430
Eucalyptus obtusiflora,eucalyptus obtusiflora,eucalyptus obtusiflora,eucalyptus,obtusiflora,NA,eucalyptus obtusiflora,Accepted,,A.Cunn. ex DC.,CANB 794053**,KT631845,KT631235,KT633015,KT632431
Eucalyptus occidentalis,eucalyptus occidentalis,eucalyptus occidentalis,eucalyptus,occidentalis,NA,eucalyptus occidentalis,Accepted,,Endl.,Currency Creek 3556,KT631846,KT631236,KT633016,
Eucalyptus ochrophloia,eucalyptus ochrophloia,eucalyptus ochrophloia,eucalyptus,ochrophloia,NA,eucalyptus ochrophloia,Accepted,,F.Muell.,CANB 785600**,KT631847,KT631237,,KT632432
Eucalyptus odontocarpa,eucalyptus odontocarpa,eucalyptus odontocarpa,eucalyptus,odontocarpa,NA,eucalyptus odontocarpa,Accepted,,F.Muell.,CANB 785573**,FJ654418,FJ654394,KT633017,FJ654354
Eucalyptus oldfieldii,eucalyptus oldfieldii,eucalyptus oldfieldii,eucalyptus,oldfieldii,NA,eucalyptus oldfieldii,Accepted,,F.Muell.,CANB 794068**,KT631848,KT631238,KT633018,KT632433
Eucalyptus oleosa subsp. oleosa,eucalyptus oleosa subsp. oleosa,eucalyptus oleosa,eucalyptus,oleosa,oleosa,eucalyptus oleosa subsp. oleosa,Accepted,,F.Muell. ex Miq.,Currency Creek 2163,KT631849,KT631239,KT633019,KT632434
Eucalyptus olida,eucalyptus olida,eucalyptus olida,eucalyptus,olida,NA,eucalyptus olida,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 661,KT631850,KT631240,KT633020,KT632435
Eucalyptus oligantha,eucalyptus oligantha,eucalyptus oligantha,eucalyptus,oligantha,NA,eucalyptus oligantha,Accepted,,Schauer,CANB 785536**,KT631851,KT631241,KT633021,
Eucalyptus olivina,eucalyptus olivina,eucalyptus olivina,eucalyptus,olivina,NA,eucalyptus olivina,Accepted,,Brooker & Hopper,Currency Creek 3670,KT631852,KT631242,KT633022,KT632436
Eucalyptus olsenii,eucalyptus olsenii,eucalyptus olsenii,eucalyptus,olsenii,NA,eucalyptus olsenii,Accepted,,L.A.S.Johnson & Blaxell,ANBG 762144,KT631853,KT631243,KT633023,KT632437
Eucalyptus ophitica,eucalyptus ophitica,eucalyptus ophitica,eucalyptus,ophitica,NA,eucalyptus ophitica,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 2099,KT631854,,,
Eucalyptus optima,eucalyptus optima,eucalyptus optima,eucalyptus,optima,NA,eucalyptus optima,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 2154,KT631855,KT631244,KT633024,KT632438
Eucalyptus oraria,eucalyptus oraria,eucalyptus oraria,eucalyptus,oraria,NA,eucalyptus oraria,Accepted,,L.A.S.Johnson,Currency Creek 3527,KT631856,KT631245,KT633025,KT632439
Eucalyptus orbifolia,eucalyptus orbifolia,eucalyptus orbifolia,eucalyptus,orbifolia,NA,eucalyptus orbifolia,Accepted,,F.Muell.,Currency Creek 2774,KT631857,KT631246,KT633026,KT632440
Eucalyptus oreades,eucalyptus oreades,eucalyptus oreades,eucalyptus,oreades,NA,eucalyptus oreades,Accepted,,F.Muell. ex R.T.Baker,Currency Creek 628,KT631858,KT631247,KT633027,KT632441
Eucalyptus orgadophila,eucalyptus orgadophila,eucalyptus orgadophila,eucalyptus,orgadophila,NA,eucalyptus orgadophila,Accepted,,Maiden & Blakely,Waite Arboretum 90,KT631859,KT631248,KT633028,KT632442
Eucalyptus ornata,eucalyptus ornata,eucalyptus ornata,eucalyptus,ornata,NA,eucalyptus ornata,Accepted,,Crisp,Currency Creek 243,KT631860,,KT633029,KT632443
Eucalyptus orthostemon,eucalyptus orthostemon,eucalyptus orthostemon,eucalyptus,orthostemon,NA,eucalyptus orthostemon,Accepted,,D.Nicolle & Brooker,Currency Creek 3426,KT631861,KT631249,KT633030,KT632444
Eucalyptus ovata var. ovata,eucalyptus ovata var. ovata,eucalyptus ovata var. ovata,eucalyptus,ovata,ovata,eucalyptus ovata var. ovata,Accepted,,Labill.,ANBG 475702,KT631862,KT631250,KT633031,KT632445
Eucalyptus ovularis,eucalyptus ovularis,eucalyptus ovularis,eucalyptus,ovularis,NA,eucalyptus ovularis,Accepted,,Maiden & Blakely,Currency Creek 1107,KT631863,KT631251,KT633032,KT632446
